target,y_cov,rtg,n_dates,rho_lvl,abs_rho_lvl,rho_res,abs_rho_res,share_res_gt_03,acf1_res,stress_lift_res,stress_lift_lvl
yield,coupon,B,207,0.4396423591756275,0.4396423591756275,0.12681868696345946,0.1640835002866818,0.2028985507246377,0.9276334822257978,0.04449833308416143,-0.1490559049984732
yield,debt_ebitda,AAA,207,-0.04304535108409191,0.19386909829244905,-0.07344797747116932,0.2614375107552841,0.45410628019323673,0.9315046111785578,-0.16836418446081947,-0.07305834862206648
yield,debt_ebitda,AA,207,0.009827637213183889,0.11317580765223492,-0.006661017702327775,0.1745471688614639,0.14492753623188406,0.9354716426646914,0.05968855392242503,0.0966166280047952
yield,debt_ebitda,A,207,-0.062229405412923766,0.09910039896057445,0.03433833582097158,0.1286253290900595,0.1111111111111111,0.95098153981254,0.11484663529523492,0.13496072531852954
yield,debt_ebitda,BBB,207,-0.03198723730066139,0.04502398024884062,-0.02551290915402991,0.0626671759104133,0.0,0.9040231620191052,-0.031923088664793375,-0.0011396114783900069
yield,debt_ebitda,BB,207,-0.07582395005369735,0.13989263486111447,-0.07896808621733568,0.14147373988976183,0.15942028985507245,0.9309427755950028,-0.024672569975246667,-0.04613511179283877
yield,debt_ebitda,B,207,0.05807342402115406,0.0913847358146687,0.03170048661871221,0.12364441547305159,0.0966183574879227,0.8602577404676166,0.0618189737965328,0.1118902278663892
yield,dolvol,AAA,207,0.12902147617537557,0.22527472527472525,0.07012987012987013,0.19795918367346935,0.26570048309178745,0.6000788752940238,0.05774965488587777,0.12540615693561316
yield,dolvol,AA,207,0.12483406356311212,0.129574417317074,0.033846367901989464,0.07286351614885263,0.004830917874396135,0.62842755457141,0.027737487181331733,-0.008376375185488644
yield,dolvol,A,207,0.13881845187246564,0.1450720383907301,0.05889733149990761,0.07739172098149813,0.0,0.8134315483347816,0.014958635995746733,-0.027384018476376615
yield,dolvol,BBB,207,0.19155577185043685,0.19155577185043685,0.14188387920794404,0.14213845414794588,0.004830917874396135,0.7591706126603066,-0.05639125000268286,-0.09809531268710867
yield,dolvol,BB,207,0.07494168798585314,0.0901650162906028,0.02438964435423739,0.08504751223982829,0.00966183574879227,0.6075554146958223,0.028754565632651857,0.04745990227450658
yield,dolvol,B,207,0.004494797511057384,0.08271734066993391,-0.011142721669037459,0.08676618680636357,0.04830917874396135,0.5402382889372435,0.008195686831980672,0.05035158043969437
yield,duration,AAA,207,0.9133126934984519,0.9133126934984519,-0.4719251336898396,0.7636494597839135,0.8309178743961353,0.9734157523035315,0.05268997236729267,-0.03416444453612921
yield,duration,AA,207,0.9162290422274013,0.9162290422274013,-0.24172753889660553,0.6929985653698488,0.8405797101449275,0.9755945683365019,-0.08801724958952861,-0.22569184879645365
yield,duration,A,207,0.9062117899902157,0.9062117899902157,-0.18163845564474937,0.5620767749119692,0.8019323671497585,0.9817584548013686,-0.08619233394383363,-0.26781238331116053
yield,duration,BBB,207,0.8264921265215107,0.8264921265215107,-0.06150849864253982,0.4216900431800141,0.6666666666666666,0.9838676927641001,0.03669547697116782,-0.1432590118545819
yield,duration,BB,207,0.4988781273792692,0.4988781273792692,-0.04967108101556047,0.17357222844344905,0.2608695652173913,0.9543988181719534,-0.018285912702297957,-0.22274751270350213
yield,duration,B,207,0.14229691876750702,0.14565217391304347,-0.06565656565656568,0.15877370983261405,0.17391304347826086,0.9028311595657847,-0.06855812908170938,0.03782379057435495
yield,eq_dur,AAA,207,0.049392718091753836,0.1690308509457033,-0.015901104191382232,0.1842526351463595,0.34782608695652173,0.8053529505192963,-0.02670640710048125,0.002583718674472546
yield,eq_dur,AA,207,0.02997362628580941,0.091064764189552,-0.03187105933927911,0.13922466678341794,0.12077294685990338,0.9404356773761706,0.17819816258664609,0.14111361175070652
yield,eq_dur,A,207,-0.08804983738925687,0.08839704738137005,0.020842660835465335,0.11216090962536913,0.11594202898550725,0.9419784190797623,0.2061775997939843,0.27539185216663964
yield,eq_dur,BBB,207,-0.03690318057852889,0.06572742117368534,0.004387257828118555,0.10055519851375518,0.028985507246376812,0.9395451946695292,0.06114762410138924,0.07536429488989706
yield,eq_dur,BB,207,-0.04929851194837633,0.10650508395281731,-0.0012461561258303314,0.13593393347641153,0.12560386473429952,0.894817084421489,0.07662749574716404,0.021357534272849768
yield,eq_dur,B,207,-0.08315371273457228,0.1531047338375062,-0.01245943168369066,0.1451774148236819,0.20772946859903382,0.8654527028875981,-0.03008284971348346,0.005089760490782386
