regime,target,is_null_for_target,K,reference_share,n_ref,n_cand,rejection_rate,rejection_rate_after_break,median_delay,mean_log_e_pre,mean_log_e_post
relation_break,y,False,12,0.33,4,8,0.4,1.0,2.0,-1.9482901752921769,-0.3138482688973093
relation_break,y,False,12,0.5,6,6,0.1,1.0,2.0,-2.6193555526849717,-0.7649360314146535
relation_break,y,False,12,0.67,8,4,0.0,0.9,2.0,-3.921167145629647,-2.2409301685471026
relation_break,y,False,12,0.75,9,3,0.0,0.8,2.5,-4.88262117382998,-3.4541519018832894
relation_break,y,False,18,0.0,18,18,0.3,0.7,2.0,-1.080248778921541,-0.4330541918475159
relation_break,y,False,18,0.25,4,14,1.0,1.0,2.5,-1.085101607876958,1.3253607171541801
relation_break,y,False,18,0.33,6,12,0.9,1.0,2.5,-1.5008948567376954,0.7610986963451079
relation_break,y,False,18,0.5,9,9,0.7,1.0,2.0,-1.8605177537752957,0.22828710688302212
relation_break,y,False,18,0.67,12,6,0.1,1.0,3.0,-2.420870536353962,-0.8065924842334941
relation_break,y,False,18,0.75,14,4,0.0,1.0,2.5,-3.4979571248237833,-1.505456752805257
relation_break,y,False,24,0.0,24,24,0.4,0.9,3.0,-0.8932436256348852,0.09864358409795122
relation_break,y,False,24,0.25,6,18,1.0,1.0,2.5,-1.0153494888445764,2.14195351111328
relation_break,y,False,24,0.33,8,16,1.0,1.0,2.0,-1.1205267957792624,1.9047457261772471
